74,17
91,16
92,21
97,21
97,30
101,30
102,35
105,35
105,31
110,30
111,35
116,35
116,49
121,49
121,58
125,58
125,63
129,63
130,58
135,58
135,54
138,54
139,68
144,68
144,72
149,72
149,68
153,68
154,82
148,82
149,87
144,87
144,91
148,92
149,96
153,96
153,105
144,106
144,110
135,111
134,116
125,115
125,110
121,111
120,115
111,116
111,119
92,119
92,116
83,115
83,110
78,111
77,116
73,115
73,119
59,119
58,115
51,115
51,110
44,110
45,105
31,104
30,96
26,96
26,92
22,92
22,88
17,87
17,82
12,82
12,73
21,72
21,63
25,63
26,59
30,59
30,54
44,54
44,49
49,49
49,45
54,44
54,40
58,40
59,25
68,25
68,21
74,21
